artwork,artwork - UNIT,artwork - UNIQUE_KEY,artwork - IMG_DIRECT_ACCESS,artwork - DISPLAY_DENOMINATION,artwork - DISPLAY_LIEU_CONSERV,artwork - TITRE,artwork - HAUTEUR,artwork - DISPLAY_MATIERE,artwork - DISPLAY_PERSONNE_AUTEUR,artwork - DISPLAY_ROLE_AUTEUR,artwork - LARGEUR,artwork - DISPLAY_TECHNIQUE
"
  ",mètre,134465,folder_0001/folder_0001/folder_0004/folder_0120/elem_0195/FR06_0011_DOM_134465_0039_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Sainte,"0,55",bois,Anonyme italien - peintre - 15e siècle,attribué à,"0,13",peinture à tempera
"
  ",mètre,134467,folder_0001/folder_0001/folder_0004/folder_0124/elem_0120/FR06_0011_DOM_134467_0040_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Deux anges portant flambeau et roses,"0,945",,Anonyme vénitien - peintre - 18e siècle,attribué à,,peinture à fresque
"
  ",mètre,134469,folder_0001/folder_0001/folder_0003/folder_0245/elem_0220/FR06_0011_DOM_134469_1_0016_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Scènes de Béatitude et de la Vie du Christ,"1,43",bois,Anonyme siennois - peintre - 16e siècle,attribué à,"1,58",
"
  ",mètre,134470,folder_0001/folder_0001/folder_0003/folder_0245/elem_0227/FR06_0011_DOM_134470_0023_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),"Saint Jean-Baptiste, saint Onuphre (?) (à gauche)
Saint Jérôme, saint Eustache (à droite)","0,838",bois,Anonyme vénitien - peintre - 15e siècle,attribué à,"0,234",peinture à l'huile
"
  ",mètre,22719,folder_0001/folder_0001/folder_0003/folder_0120/elem_0114/FR75_0002_MUS_22719_0934_low.jpg,peinture,Musée du Louvre (Paris),La Vierge et l'Enfant entre saint Joseph et saint François (?),"0,378",bois,Anonyme ferrarais - peintre - Début 16e siècle,attribué à,"0,298",peinture à l'huile
"
  ",mètre,134471,folder_0001/folder_0001/folder_0003/folder_0245/elem_0228/FR06_0011_DOM_134471_0024_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Entrée du Christ à Jérusalem,"0,69",toile,Anonyme italien - peintre,attribué à,"0,74",peinture à l'huile
"
  ",mètre,134453,folder_0001/folder_0001/folder_0003/folder_0245/elem_0208/FR06_0011_DOM_134453_0004_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Retable de la Vierge et l'Enfant avec Saints,"0,83",bois,Anonyme vénitien - peintre - Fin 15e siècle,attribué à,"0,25",peinture à tempera
"
  ",mètre,134457,folder_0001/folder_0001/folder_0003/folder_0245/elem_0210/FR06_0011_DOM_134457_0006_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Le triomphe de l'amour,"4,80",toile,Tiepolo - Giovanni Domenico - peintre - 1727 - 1804 - 1727 - 1804 - Tiepolo - Giandomenico,attribué à,"2,95",peinture à l'huile
"
  ",mètre,29089,folder_0001/folder_0001/folder_0003/folder_0245/elem_0230/FR06_0011_DOM_29089_0026_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Deux études de têtes,"0,415",toile,Anonyme vénitien - peintre - Début 17e siècle,attribué à,"0,58",peinture à l'huile
"
  ",mètre,23535,folder_0001/folder_0001/folder_0003/folder_0118/elem_0135/FR75_0002_MUS_23535_0455_low.jpg,peinture,Musée du Louvre (Paris),La Résurrection du Christ,"0,26",bois,Angelico - peintre - Vers 1395 - 1455 - Vers 1395 - 1455 - Fra - Fra Angelico,entourage de,"0,10",peinture à tempera/fond d'or
"
  ",mètre,22752,folder_0001/folder_0001/folder_0004/folder_0092/elem_0044/FR_75_0002_MUS_22752_1398_low.jpg,peinture,Musée du Louvre (Paris),La Vierge et l'Enfant avec deux anges,"0,595",bois,Anonyme toscan - peintre - 15e siècle,attribué à,"0,438",peinture à l'huile
"
  ",mètre,23252,folder_0001/folder_0001/folder_0003/folder_0118/elem_0041/FR75_0002_MUS_23252_0361_low.jpg,peinture,Musée du Louvre (Paris),La Vierge et l'Enfant,"0,787",bois,Ghirlandaio - Domenico - peintre - 1449 - 1494 - 1449 - 1494 - Domenico di Tomaso Bigordi,de,"0,555",peinture à l'huile
"
  ",mètre,12280,folder_0001/folder_0001/folder_0003/folder_0116/elem_0213/FR75_0002_MUS_12280_0033_low.jpg,peinture,Musée du Louvre (Paris),"La Sainte Famille avec le petit saint Jean-Baptiste, entre saint Paul et sainte Ursule","0,610",bois,Pisbolica - peintre - actif entre 1540 et 1572 - Pisbolica - Jacopo,de,"0,725",peinture à l'huile
"
  ",mètre,14777,folder_0001/folder_0001/folder_0001/folder_0120/elem_0006/FR_72_0002_MUS_1812_0018_low.jpg,peinture,Musée de Tessé (Le Mans),Portrait de Bartolomeo di Giovanni Berzichelli,"0,550",bois,Rosselli - Cosimo - peintre - 1439 - 1507 - 1439 - 1507,attribué à,"0,387",peinture à l'huile
"
  ",mètre,30517,folder_0001/folder_0001/folder_0004/folder_0085/elem_0068/FR75_0054_MUS_30517_0001_low.jpg,peinture/triptyque,Musée Marmottan Monet (Paris),Triptyque de l'Assomption de la Vierge,"1,86",bois,Maestro di Cesi - peintre - actif au début du XIVe siècle - Maître de Cesi,de,"0,91",peinture à tempera
"
  ",mètre,22708,folder_0001/folder_0001/folder_0004/folder_0092/elem_0031/FR_75_0002_MUS_22708_1385_low.jpg,peinture,Musée du Louvre (Paris),La Vierge à l'Enfant en gloire avec sainte Anne,"0,70",toile,Anonyme véronais - peintre - 16e siècle,attribué à,"0,71",peinture à l'huile
"
  ",centimètre,228513,folder_0001/folder_0001/folder_0004/folder_0127/elem_0001/FR06_0011_DOM_228513_0051_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Cinq saintes et saints et la Vierge,190,bois/toile,Jaume Cirera,de,42,
"
  ",centimètre,228514,folder_0001/folder_0001/folder_0004/folder_0122/elem_0001/FR06_0011_DOM_228514_0045_low.jpg,peinture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),"Quatre apôtres : saint Paul, Jean, Barthélémy, Jacques le Majeur",139,bois,Anonyme castillan - peintre - Fin 15e siècle,attribué à,"47,4",peinture à l'huile
"
  ",mètre,23328,folder_0001/folder_0001/folder_0003/folder_0120/elem_0006/FR75_0002_MUS_23328_0826_low.jpg,peinture,Musée du Louvre (Paris),"Saint Maur, abbé bénédictin","0,29",papier/bois,Farinati - Paolo - peintre - 1524 - 1606 - 1524 - 1606,attribué à,"0,21",peinture à l'huile
"
  ",mètre,232170,folder_0001/folder_0001/folder_0004/folder_0152/elem_0102/FR75_0060_MUS_232170 _0338_low.jpg,mobilier,Fondation des artistes,Grande vitrine,,chêne,Anonyme français - XIXe siècle,de,"2,56",
"
  ",mètre,232172,folder_0001/folder_0001/folder_0004/folder_0151/elem_0217/FR75_0060_MUS_232172_0313_low.jpg,objet d'art européen,Fondation des artistes,Jeu de tric-trac échiquier,"0,66",ébène/ivoire,,,,
"
  ",centimètre,251569,folder_0001/folder_0001/folder_0004/folder_0221/elem_0204/4951_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Compotier « coquille »,17,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,"18,3",
"
  ",centimètre,251581,folder_0001/folder_0001/folder_0004/folder_0240/elem_0017/4963_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Seau « à demi-bouteille »,"15,2",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,"18,3",
"
  ",centimètre,251018,folder_0001/folder_0001/folder_0004/folder_0212/elem_0169/4930_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Plateau « du Roy »,2,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,"17,5",
"
  ",centimètre,251002,folder_0001/folder_0001/folder_0004/folder_0204/elem_0008/5035_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Pot à sucre « Calabre »,10,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",mètre,229786,folder_0001/folder_0001/folder_0004/folder_0138/elem_0100/FR75_0060_MUS_229786_0239_low.jpg,verrière,Fondation des artistes,La rencontre d'un homme et d'une femme,,vitrail,Anonyme allemand - peintre-verrier - XVIIe siècle,de,,grisaille sur verre
"
  ",centimètre,251832,folder_0001/folder_0001/folder_0005/folder_0014/elem_0086/397a400marine_2_low.JPG,meuble domestique,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Ensemble de tables consoles de Pierre Leriche,74,bois,Anonyme,de,72,
"
  ",centimètre,251767,folder_0001/folder_0001/folder_0004/folder_0240/elem_0176/1853villa_low.JPG,meuble domestique,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Commode à deux tiroirs,83,bois/marbre/bronze/palissandre,Anonyme,de,67,
"
  ",centimètre,251561,folder_0001/folder_0001/folder_0004/folder_0221/elem_0190/4921_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Compotier « carré »,"4,5",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,251016,folder_0001/folder_0001/folder_0004/folder_0204/elem_0027/5120_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Pot à lait « à trois pieds »,8,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,"6,5",
"
  ",centimètre,251004,folder_0001/folder_0001/folder_0004/folder_0240/elem_0039/3443_Villa_3_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Gobelet  « litron »,"5,9",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,251006,folder_0001/folder_0001/folder_0004/folder_0204/elem_0012/3439_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Gobelet  « litron »,"5,9",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,251724,folder_0001/folder_0001/folder_0005/folder_0014/elem_0123/2132-2133 _panneau centre_ et 2136 a 2141 _parclose cotes_ villa_low.jpg,meuble domestique,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Boiserie d’époque Directoire,98,bois/toile,Anonyme,de,127,peinture
"
  ",centimètre,251769,folder_0001/folder_0001/folder_0004/folder_0240/elem_0179/127villa_1_low.JPG,meuble domestique,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Encoignure,86,bois/bronze/marbre,Anonyme,de,33,
"
  ",centimètre,251840,folder_0001/folder_0001/folder_0005/folder_0014/elem_0136/1812pepe_low.JPG,meuble domestique,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),"Mobilier de salon : un canapé, six fauteuils et six chaises",103,bois/noyer/tissu,Jacob - Henri - ébéniste/menuisier - 1753 - 1824 - 1753 - 1824,de,179,sculpture/peinture
"
  ",centimètre,251557,folder_0001/folder_0001/folder_0004/folder_0221/elem_0184/4925_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Compotier « carré »,"4,5",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,251558,folder_0001/folder_0001/folder_0004/folder_0221/elem_0186/3247_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Compotier « carré »,"4,5",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,250814,folder_0001/folder_0001/folder_0004/folder_0202/elem_0210/3432_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),"Gobelet ""litron""","6,8",porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,,
"
  ",centimètre,251179,folder_0001/folder_0001/folder_0004/folder_0213/elem_0128/5177_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Soucoupe,3,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,251185,folder_0001/folder_0001/folder_0004/folder_0240/elem_0091/5202_bis_et_5203_bis_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Soucoupe,"2,3",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,250900,folder_0001/folder_0001/folder_0004/folder_0203/elem_0136/5008-5009_Villa_low.jpg,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Soucoupe,2,porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,,
"
  ",mètre,229754,folder_0001/folder_0001/folder_0004/folder_0151/elem_0135/FR75_0060_MUS_229754_0283_low.jpg,arme orientale,Département des arts de l'Islam du musée du Louvre (Paris),Fourreau de poignard recourbé en soie rouge à fleurs brochées d'or,,,,,,
"
  ",centimètre,250819,folder_0001/folder_0001/folder_0004/folder_0240/elem_0085/3422_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Soucoupe,3,porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,,
"
  ",centimètre,251228,folder_0001/folder_0001/folder_0004/folder_0213/elem_0180/1942_1943_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Soucoupe,3,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,251559,folder_0001/folder_0001/folder_0004/folder_0221/elem_0188/4926_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Compotier « carré »,"4,5",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,251860,folder_0001/folder_0001/folder_0005/folder_0014/elem_0216/3778-3779villa_low.JPG,meuble domestique,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Deux Fauteuils Louis XVI à dossier médaillon,98,bois,Anonyme,de,63,sculpture/peinture
"
  ",centimètre,251861,folder_0001/folder_0001/folder_0004/folder_0241/elem_0085/2853villa_1_low.JPG,meuble domestique,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Bergère Louis XVI à dossier plat,91,bois/hêtre,Anonyme,de,67,peinture
"
  ",centimètre,251863,folder_0001/folder_0001/folder_0004/folder_0241/elem_0088/3763villa_1_low.JPG,meuble domestique,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Fauteuil de bureau tournant,95,bois/velours,Anonyme,de,71,doré
"
  ",centimètre,251586,folder_0001/folder_0001/folder_0004/folder_0221/elem_0232/1916_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Pot « à fard »,"11,8",porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,,
"
  ",centimètre,251588,folder_0001/folder_0001/folder_0004/folder_0221/elem_0236/4902_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Tasse « à toilette »,7,porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,,
"
  ",centimètre,250821,folder_0001/folder_0001/folder_0004/folder_0202/elem_0221/3424_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Soucoupe,3,porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,,
"
  ",centimètre,250826,folder_0001/folder_0001/folder_0004/folder_0202/elem_0238/1267_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Pot à lait « à trois pieds »,"9,4",porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,,
"
  ",centimètre,232206,folder_0001/folder_0001/folder_0004/folder_0153/elem_0089/FR75_0060_MUS_232206_0342_low.jpg,objet d'art européen,Département des objets d'art du musée du Louvre (Paris),Assiette en faïence,3,faïence,Maestro Giorgio,de,,
"
  ",centimètre,250946,folder_0001/folder_0001/folder_0004/folder_0203/elem_0173/3412-3411_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Gobelet « litron »,"4,7",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,251872,folder_0001/folder_0001/folder_0005/folder_0014/elem_0236/2277a2282villa_7_low.JPG,meuble domestique,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Six Chaises à dossier Lyre,94,bois/hêtre,Anonyme,de,40,doré
"
  ",centimètre,251916,folder_0001/folder_0001/folder_0004/folder_0241/elem_0180/2149villa_8_low.JPG,meuble domestique,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Lit,115,bois,Anonyme,de,198,peinture
"
  ",centimètre,251867,folder_0001/folder_0001/folder_0004/folder_0241/elem_0099/2270villa_2_low.JPG,meuble domestique,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Fauteuil miniature,35,bois,Anonyme,de,43,sculpture
"
  ",centimètre,251513,folder_0001/folder_0001/folder_0004/folder_0221/elem_0100/3219_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Assiette « à feuilles-de-choux »,"2,9",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,251555,folder_0001/folder_0001/folder_0004/folder_0221/elem_0180/4958_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Compotier « ovale » décoré par Charles Buteux,"4,3",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,"19,8",
"
  ",mètre,229390,folder_0001/folder_0001/folder_0004/folder_0138/elem_0014/FR75_0060_MUS_229390_0170_low.jpg,objet d'art oriental,Fondation des artistes,Assiette,,,,,,
"
  ",centimètre,250869,folder_0001/folder_0001/folder_0004/folder_0203/elem_0040/5023_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Pot à lait « Hébert »,"7,5",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,6,
"
  ",centimètre,251476,folder_0001/folder_0001/folder_0004/folder_0221/elem_0032/3277_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Assiette « à potage »,4,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,251481,folder_0001/folder_0001/folder_0004/folder_0221/elem_0040/3256_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Assiette « à potage »,4,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,232174,folder_0001/folder_0001/folder_0004/folder_0151/elem_0221/FR75_0060_MUS_232174_0317_low.jpg,objet d'art européen,Département des objets d'art du musée du Louvre (Paris),Assiette en faïence de Faenza,"3,5",faïence,,,,
"
  ",centimètre,251132,folder_0001/folder_0001/folder_0004/folder_0240/elem_0042/5117_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Plateau « Hébert »,"3,2",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,23,
"
  ",centimètre,251134,folder_0001/folder_0001/folder_0004/folder_0213/elem_0059/5181_5182_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Gobelet « litron »,"4,4",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,251143,folder_0001/folder_0001/folder_0004/folder_0213/elem_0072/5116_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Gobelet « litron »,6,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,250776,folder_0001/folder_0001/folder_0004/folder_0202/elem_0146/5361_Villa_3_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Soucoupe de gobelet à « quatre pans ronds »,30,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,13,
"
  ",centimètre,251285,folder_0001/folder_0001/folder_0004/folder_0214/elem_0054/3349_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Assiette « à ozier »,"3,4",porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,,
"
  ",centimètre,251484,folder_0001/folder_0001/folder_0004/folder_0221/elem_0046/3260_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Assiette « à potage »,4,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,251490,folder_0001/folder_0001/folder_0004/folder_0221/elem_0058/4947_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Assiette « à potage »,4,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
"
  ",centimètre,251770,folder_0001/folder_0001/folder_0004/folder_0240/elem_0183/565Leben_low.JPG,meuble domestique,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Commode en laque,86,bois/marbre/bronze,Anonyme,de,122,
"
  ",centimètre,251774,folder_0001/folder_0001/folder_0005/folder_0014/elem_0051/1239-1240villa_low.JPG,meuble domestique,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Paire de petites commodes peintes à trois tiroirs,83,bois,Anonyme,de,63,
"
  ",centimètre,254651,folder_0001/folder_0001/folder_0004/folder_0228/elem_0013/4487villa_low.jpg,sculpture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Adoration des Mages - Présentation au Temple,69,calcaire,Anonyme,de,101,
"
  ",centimètre,254652,folder_0001/folder_0001/folder_0004/folder_0228/elem_0014/4490villa_low.jpg,sculpture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Crucifixion avec un donateur,72,calcaire,Anonyme,de,70,
"
  ",centimètre,254655,folder_0001/folder_0001/folder_0004/folder_0228/elem_0017/4491villa_low.jpg,sculpture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Flagellation,72,calcaire,Anonyme,de,62,
"
  ",centimètre,254656,folder_0001/folder_0001/folder_0004/folder_0228/elem_0018/893-894marine_low.jpg,sculpture,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),"Deux anges agenouillés vêtus en diacre portant des flambeaux ; sur le côté, une draperie sur un arbre écoté",70,pierre,Anonyme,de,34,relief
"
  ",centimètre,250777,folder_0001/folder_0001/folder_0004/folder_0202/elem_0146/5361_Villa_3_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Pot à sucre à « quatre pans ronds »,"8,8",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,"8,7",
"
  ",centimètre,250744,folder_0001/folder_0001/folder_0004/folder_0202/elem_0097/4981_Villa_low.JPG,objet d'art européen,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),"Vase ""hollandais""","17,8",porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,"13,5",
