artwork - UNIQUE_KEY,artwork - IMG_DIRECT_ACCESS,artwork - DISPLAY_DENOMINATION,artwork - URL,artwork - DISPLAY_LIEU_CONSERV,artwork - TITRE,artwork - DISPLAY_DATE_EXE_TXT,artwork - HAUTEUR,artwork - DISPLAY_MATIERE,artwork - DISPLAY_PERSONNE_AUTEUR,artwork - DISPLAY_ROLE_AUTEUR,artwork - LARGEUR,artwork - DISPLAY_TECHNIQUE
134465,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0120/elem_0195/FR06_0011_DOM_134465_0039_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/003134465,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Sainte,,"0,55",bois,Anonyme italien - peintre - 15e siècle,attribué à,"0,13",peinture à tempera
134467,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0124/elem_0120/FR06_0011_DOM_134467_0040_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/003134467,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Deux anges portant flambeau et roses,2e moitié du 18e siècle,"0,945",,Anonyme vénitien - peintre - 18e siècle,attribué à,,peinture à fresque
,,,,,Deux amours sur des nuées,,,,,,,
134469,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0245/elem_0220/FR06_0011_DOM_134469_1_0016_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/003134469,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Scènes de Béatitude et de la Vie du Christ,16e siècle,"1,43",bois,Anonyme siennois - peintre - 16e siècle,attribué à,"1,58",
134470,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0245/elem_0227/FR06_0011_DOM_134470_0023_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/003134470,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),"Saint Jean-Baptiste, saint Onuphre (?) (à gauche)
Saint Jérôme, saint Eustache (à droite)",15e siècle,"0,838",bois,Anonyme vénitien - peintre - 15e siècle,attribué à,"0,234",peinture à l'huile
22719,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0120/elem_0114/FR75_0002_MUS_22719_0934_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/00322719,Musée du Louvre (Paris),La Vierge et l'Enfant entre saint Joseph et saint François (?),1er quart du 16e siècle,"0,378",bois,Anonyme ferrarais - peintre - Début 16e siècle,attribué à,"0,298",peinture à l'huile
134471,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0245/elem_0228/FR06_0011_DOM_134471_0024_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/003134471,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Entrée du Christ à Jérusalem,16e siècle,"0,69",toile,Anonyme italien - peintre,attribué à,"0,74",peinture à l'huile
134453,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0245/elem_0208/FR06_0011_DOM_134453_0004_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/003134453,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Retable de la Vierge et l'Enfant avec Saints,2e quart du 15e siècle - 3e quart du 15e siècle,"0,83",bois,Anonyme vénitien - peintre - Fin 15e siècle,attribué à,"0,25",peinture à tempera
134457,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0245/elem_0210/FR06_0011_DOM_134457_0006_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/003134457,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Le triomphe de l'amour,1760 - 1770,"4,80",toile,Tiepolo - Giovanni Domenico - peintre - 1727 - 1804 - 1727 - 1804 - Tiepolo - Giandomenico,attribué à,"2,95",peinture à l'huile
29089,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0245/elem_0230/FR06_0011_DOM_29089_0026_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/00329089,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Deux études de têtes,1ère moitié du 17e siècle,"0,415",toile,Anonyme vénitien - peintre - Début 17e siècle,attribué à,"0,58",peinture à l'huile
23535,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0118/elem_0135/FR75_0002_MUS_23535_0455_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/00323535,Musée du Louvre (Paris),La Résurrection du Christ,2e quart du 15e siècle,"0,26",bois,Angelico - peintre - Vers 1395 - 1455 - Vers 1395 - 1455 - Fra - Fra Angelico,entourage de,"0,10",peinture à tempera/fond d'or
22752,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0092/elem_0044/FR_75_0002_MUS_22752_1398_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/00322752,Musée du Louvre (Paris),La Vierge et l'Enfant avec deux anges,2e moitié du 15e siècle,"0,595",bois,Anonyme toscan - peintre - 15e siècle,attribué à,"0,438",peinture à l'huile
23252,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0118/elem_0041/FR75_0002_MUS_23252_0361_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/00323252,Musée du Louvre (Paris),La Vierge et l'Enfant,Vers 1475 - 1480,"0,787",bois,Ghirlandaio - Domenico - peintre - 1449 - 1494 - 1449 - 1494 - Domenico di Tomaso Bigordi,de,"0,555",peinture à l'huile
12280,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0116/elem_0213/FR75_0002_MUS_12280_0033_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/00312280,Musée du Louvre (Paris),"La Sainte Famille avec le petit saint Jean-Baptiste, entre saint Paul et sainte Ursule",2e quart du 16e siècle - 3e quart du 16e siècle,"0,610",bois,Pisbolica - peintre - actif entre 1540 et 1572 - Pisbolica - Jacopo,de,"0,725",peinture à l'huile
14777,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0001/folder_0120/elem_0006/FR_72_0002_MUS_1812_0018_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/00314777,Musée de Tessé (Le Mans),Portrait de Bartolomeo di Giovanni Berzichelli,4e quart du 15e siècle,"0,550",bois,Rosselli - Cosimo - peintre - 1439 - 1507 - 1439 - 1507,attribué à,"0,387",peinture à l'huile
30517,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0085/elem_0068/FR75_0054_MUS_30517_0001_low.jpg,peinture/triptyque,https://agorha.inha.fr/inhaprod/ark:/54721/00330517,Musée Marmottan Monet (Paris),Triptyque de l'Assomption de la Vierge,4e quart du 13e siècle - 1er quart du 14e siècle,"1,86",bois,Maestro di Cesi - peintre - actif au début du XIVe siècle - Maître de Cesi,de,"0,91",peinture à tempera
22708,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0092/elem_0031/FR_75_0002_MUS_22708_1385_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/00322708,Musée du Louvre (Paris),La Vierge à l'Enfant en gloire avec sainte Anne,2e quart du 16e siècle - 3e quart du 16e siècle,"0,70",toile,Anonyme véronais - peintre - 16e siècle,attribué à,"0,71",peinture à l'huile
228513,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0127/elem_0001/FR06_0011_DOM_228513_0051_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/003228513,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Cinq saintes et saints et la Vierge,1ère moitié du 15e siècle - 2e moitié du 15e siècle,190,bois/toile,Jaume Cirera,de,42,
228514,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0122/elem_0001/FR06_0011_DOM_228514_0045_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/003228514,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),"Quatre apôtres : saint Paul, Jean, Barthélémy, Jacques le Majeur",4e quart du 15e siècle,139,bois,Anonyme castillan - peintre - Fin 15e siècle,attribué à,"47,4",peinture à l'huile
23328,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0120/elem_0006/FR75_0002_MUS_23328_0826_low.jpg,peinture,https://agorha.inha.fr/inhaprod/ark:/54721/00323328,Musée du Louvre (Paris),"Saint Maur, abbé bénédictin",2e moitié du 16e siècle,"0,29",papier/bois,Farinati - Paolo - peintre - 1524 - 1606 - 1524 - 1606,attribué à,"0,21",peinture à l'huile
232170,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0152/elem_0102/FR75_0060_MUS_232170 _0338_low.jpg,mobilier,https://agorha.inha.fr/inhaprod/ark:/54721/003232170,Fondation des artistes,Grande vitrine,,,chêne,Anonyme français - XIXe siècle,de,"2,56",
232172,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0151/elem_0217/FR75_0060_MUS_232172_0313_low.jpg,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003232172,Fondation des artistes,Jeu de tric-trac échiquier,,"0,66",ébène/ivoire,,,,
251569,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0221/elem_0204/4951_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251569,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Compotier « coquille »,1765,17,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,"18,3",
251581,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0240/elem_0017/4963_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251581,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Seau « à demi-bouteille »,1765 - 1770,"15,2",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,"18,3",
251018,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0212/elem_0169/4930_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251018,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Plateau « du Roy »,1767,2,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,"17,5",
251002,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0204/elem_0008/5035_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251002,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Pot à sucre « Calabre »,1772,10,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
229786,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0138/elem_0100/FR75_0060_MUS_229786_0239_low.jpg,verrière,https://agorha.inha.fr/inhaprod/ark:/54721/003229786,Fondation des artistes,La rencontre d'un homme et d'une femme,17e siècle,,vitrail,Anonyme allemand - peintre-verrier - XVIIe siècle,de,,grisaille sur verre
251832,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0005/folder_0014/elem_0086/397a400marine_2_low.JPG,meuble domestique,https://agorha.inha.fr/inhaprod/ark:/54721/003251832,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Ensemble de tables consoles de Pierre Leriche,18e siècle,74,bois,Anonyme,de,72,
251767,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0240/elem_0176/1853villa_low.JPG,meuble domestique,https://agorha.inha.fr/inhaprod/ark:/54721/003251767,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Commode à deux tiroirs,18e siècle,83,bois/marbre/bronze/palissandre,Anonyme,de,67,
251561,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0221/elem_0190/4921_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251561,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Compotier « carré »,1766,"4,5",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
251016,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0204/elem_0027/5120_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251016,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Pot à lait « à trois pieds »,1767,8,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,"6,5",
251004,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0240/elem_0039/3443_Villa_3_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251004,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Gobelet  « litron »,1767 - 1773,"5,9",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
251006,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0204/elem_0012/3439_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251006,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Gobelet  « litron »,1768,"5,9",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
251724,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0005/folder_0014/elem_0123/2132-2133 _panneau centre_ et 2136 a 2141 _parclose cotes_ villa_low.jpg,meuble domestique,https://agorha.inha.fr/inhaprod/ark:/54721/003251724,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Boiserie d’époque Directoire,1795 - 1799,98,bois/toile,Anonyme,de,127,peinture
251769,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0240/elem_0179/127villa_1_low.JPG,meuble domestique,https://agorha.inha.fr/inhaprod/ark:/54721/003251769,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Encoignure,18e siècle,86,bois/bronze/marbre,Anonyme,de,33,
251840,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0005/folder_0014/elem_0136/1812pepe_low.JPG,meuble domestique,https://agorha.inha.fr/inhaprod/ark:/54721/003251840,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),"Mobilier de salon : un canapé, six fauteuils et six chaises",4e quart du 18e siècle - 1er quart du 19e siècle,103,bois/noyer/tissu,Jacob - Henri - ébéniste/menuisier - 1753 - 1824 - 1753 - 1824,de,179,sculpture/peinture
251557,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0221/elem_0184/4925_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251557,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Compotier « carré »,1766,"4,5",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
251558,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0221/elem_0186/3247_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251558,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Compotier « carré »,1766,"4,5",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
250814,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0202/elem_0210/3432_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003250814,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),"Gobelet ""litron""",1756 - 1757,"6,8",porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,,
251179,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0213/elem_0128/5177_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251179,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Soucoupe,1782,3,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
251185,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0240/elem_0091/5202_bis_et_5203_bis_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251185,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Soucoupe,1782,"2,3",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
250900,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0203/elem_0136/5008-5009_Villa_low.jpg,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003250900,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Soucoupe,1760,2,porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,,
229754,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0151/elem_0135/FR75_0060_MUS_229754_0283_low.jpg,arme orientale,https://agorha.inha.fr/inhaprod/ark:/54721/003229754,Département des arts de l'Islam du musée du Louvre (Paris),Fourreau de poignard recourbé en soie rouge à fleurs brochées d'or,18e siècle,,,,,,
250819,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0240/elem_0085/3422_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003250819,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Soucoupe,1756 - 1757,3,porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,,
251228,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0213/elem_0180/1942_1943_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251228,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Soucoupe,1787,3,porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
251559,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0221/elem_0188/4926_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251559,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Compotier « carré »,1766,"4,5",porcelaine tendre,Manufacture royale de porcelaines de Sèvres - Sèvres,de,,
251860,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0005/folder_0014/elem_0216/3778-3779villa_low.JPG,meuble domestique,https://agorha.inha.fr/inhaprod/ark:/54721/003251860,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Deux Fauteuils Louis XVI à dossier médaillon,18e siècle,98,bois,Anonyme,de,63,sculpture/peinture
251861,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0241/elem_0085/2853villa_1_low.JPG,meuble domestique,https://agorha.inha.fr/inhaprod/ark:/54721/003251861,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Bergère Louis XVI à dossier plat,18e siècle,91,bois/hêtre,Anonyme,de,67,peinture
251863,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0241/elem_0088/3763villa_1_low.JPG,meuble domestique,https://agorha.inha.fr/inhaprod/ark:/54721/003251863,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Fauteuil de bureau tournant,19e siècle,95,bois/velours,Anonyme,de,71,doré
251586,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0221/elem_0232/1916_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251586,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Pot « à fard »,1749,"11,8",porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,,
251588,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0221/elem_0236/4902_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003251588,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Tasse « à toilette »,1753 - 1754,7,porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,,
250821,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0202/elem_0221/3424_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003250821,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Soucoupe,1756 - 1757,3,porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,,
250826,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0202/elem_0238/1267_Villa_low.JPG,objet d'art européen,https://agorha.inha.fr/inhaprod/ark:/54721/003250826,Fondation Ephrussi de Rothschild (Saint-Jean-Cap-Ferrat),Pot à lait « à trois pieds »,1756 - 1757,"9,4",porcelaine tendre,Manufacture royale de porcelaine de Vincennes,de,,
