artwork - HAUTEUR,artwork - TITRE,artwork - UNIQUE_KEY,artwork - URL,artwork - IMG_DIRECT_ACCESS,artwork - DISPLAY_DENOMINATION,artwork - DISPLAY_LIEU_CONSERV,artwork - DISPLAY_MATIERE,artwork - DISPLAY_DATE_EXE_TXT,artwork - LARGEUR,artwork - DISPLAY_PERSONNE_AUTEUR,artwork - DISPLAY_TECHNIQUE,artwork - DISPLAY_ROLE_AUTEUR
150,"Etienne III d'Aligre, garde des sceaux (+ 1677), en priant",135684,https://agorha.inha.fr/inhaprod/ark:/54721/003135684,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0125/FR28_0006_HOS_135684_0001_low.jpg,tombeau/statue/priant,Fondation d'Aligre et Marie-Thérèse (Lèves),marbre,Vers 1672,97,Magnier - Laurent - sculpteur - Vers 1615 - 1700 - Vers 1615 - 1700,taillé,attribué à
"0,67","François-Marie Arouet, dit Voltaire, écrivain (1694-1778)",135159,https://agorha.inha.fr/inhaprod/ark:/54721/003135159,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0018/FR78_0001_MUS_135159_0118_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,1778 - 1779,"0,58",Mouchy - Louis-Philippe - sculpteur - 1734 - 1801 - 1734 - 1801 - Mouchy - Louis Philippe,taillé,
"0,63","Armand-Frédéric-Ernest, comte de Nogaret, secrétaire des commandements du comte de Provence (1734-1806)",135182,https://agorha.inha.fr/inhaprod/ark:/54721/003135182,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0143/FR78_0001_MUS_135182_0154_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),plâtre,Juillet 1839,"0,54",,,mouleur
"0,41",Rinceaux de vigne et de grappes de raisin,135618,https://agorha.inha.fr/inhaprod/ark:/54721/003135618,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0079/elem_0147/FR75_0002_MUS_135618_1296_low.jpg,relief/fragment,Département des sculptures du musée du Louvre (Paris),calcaire,18e siècle,"0,71","Anonyme, Ile-de-France - sculpteur - 18e siècle",taillé,
"0,6","Nicolas de Bellièvre, président au Parlement de Paris (1583-1650)",135076,https://agorha.inha.fr/inhaprod/ark:/54721/003135076,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0173/FR78_0001_MUS_135076_0184_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,17e siècle,"0,6","Anonyme, Ile-de-France - sculpteur - 17e siècle",taillé,
"0,49",Chrétien de Lamoignon (1557-1626),135118,https://agorha.inha.fr/inhaprod/ark:/54721/003135118,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0167/FR78_0001_MUS_135118_0178_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,Vers 1635,"0,48",Collot - Pierre - architecte/sculpteur/peintre - Actif à Paris au XVIIe siècle,taillé,attribué à
"2,15","Jacques-Christophe Coquille, dit Dugommier, général en chef (1736-1794)",135115,https://agorha.inha.fr/inhaprod/ark:/54721/003135115,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0002/FR78_0001_MUS_135115_0102_low.jpg,statue,Localisation inconnue,plâtre,Avant 1806,"0,72",Chaudet - Antoine-Denis - sculpteur/homme-femme de lettres/journaliste/historien.ne de l'art - 1763 - 1810 - 1763 - 1810 - Chaudet - Denis Antoine,,
"0,53","Armand-Marc, comte de Montmorin-Saint-Herem (+ 1792)",135116,https://agorha.inha.fr/inhaprod/ark:/54721/003135116,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0157/FR78_0001_MUS_135116_0168_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),terre cuite,18e siècle,"0,47",Collet - Jacques-Auguste - sculpteur - Actif à Sèvres au 18e-19e siècle - Collet - Jacques Auguste,modelé,
"1,3","Monument funéraire du coeur de Paul de Gondi, cardinal de Retz (+ 1679)",135051,https://agorha.inha.fr/inhaprod/ark:/54721/003135051,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0108/elem_0126/FR95_0001_MUS_135051_0062_low.jpg,tombeau du coeur/haut-relief,Musée national de la Renaissance (Ecouen),marbre/albâtre,4e quart du 17e siècle,"0,81","Anonyme, Ile-de-France - sculpteur - 17e siècle",,
"1,32","Philippe de Villiers de l'Isle-Adam, 44e grand-maître de l'Ordre de Malte (1464-1534)",135069,https://agorha.inha.fr/inhaprod/ark:/54721/003135069,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0243/FR78_0001_MUS_135069_0094_low.jpg,statue,Musée national des châteaux de Versailles et de Trianon (Versailles),albâtre,16e siècle,"0,95","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"0,83",Un apôtre non identifié,135005,https://agorha.inha.fr/inhaprod/ark:/54721/003135005,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0120/FR75_0067_MUS_135005_0001_low.jpg,statue,Sainte-Chapelle (Paris),pierre,2e quart du 13e siècle,,"Anonyme, Ile-de-France - sculpteur - 13e siècle",taillé,
"0,45",Autel dit des Quatre dieux,135008,https://agorha.inha.fr/inhaprod/ark:/54721/003135008,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0044/FR75_0007_MUS_135008_0025_low.jpg,autel,"Musée de Cluny, Musée national du Moyen Âge (Paris)",pierre,L'an 1 - L'an 100,"0,74","Anonyme, Ile-de-France - sculpteur - époque gallo-romaine",taillé/gravé,
"0,73","Inscription commémorative de Pierre Séguin (1588-1672), doyen de Saint-Germain-l'Auxerrois, aumônier d'Anne d'Autriche",135094,https://agorha.inha.fr/inhaprod/ark:/54721/003135094,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0137/elem_0233/FR75_0003_REL_135094_0012_low.jpg,plaque commémorative/bas-relief,Eglise Saint-Germain-l'Auxerrois (Paris),marbre,17e siècle,"0,8","Anonyme, Ile-de-France - sculpteur - 17e siècle",taillé,
"1,12",Main tenant une épée couronnée,135363,https://agorha.inha.fr/inhaprod/ark:/54721/003135363,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0171/elem_0212/FR75_0016_MUS_135363_0277_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre blanc/marbre de couleur,1571 - 1578,"0,25",Prieur - Barthélemy - sculpteur - Vers 1536 - 1611 - Vers 1536 - 1611,taillé,
"1,5","Louis de Rouville, grand veneur de France (+ 1527)",135027,https://agorha.inha.fr/inhaprod/ark:/54721/003135027,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0093/elem_0040/FR75_0016_MUS_135027_1459_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),pierre,Vers 1525,,"Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"1,053",Saint Sébastien,135237,https://agorha.inha.fr/inhaprod/ark:/54721/003135237,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0036/FR75_0002_MUS_135237_0956_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,1779,"0,483",Dejoux - Claude - sculpteur/menuisier - 23 janvier 1732 - 18 octobre 1816 - 23 janvier 1732 - 18 octobre 1816,taillé,
"0,96","Monument funéraire de Salomon Phélypeaux, conseiller du Roi (1564-1655)",135090,https://agorha.inha.fr/inhaprod/ark:/54721/003135090,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0148/FR78_0001_MUS_135090_0159_low.jpg,bas-relief,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,17e siècle,"0,64","Anonyme, Ile-de-France - sculpteur - 17e siècle",taillé,
"1,1",La Paix de Nimègue (10 août 1678),135243,https://agorha.inha.fr/inhaprod/ark:/54721/003135243,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0103/FR75_0016_MUS_135243_0107_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),bronze,1681 - 1685,"1,68",Desjardins - Martin - sculpteur/historien.ne de l'art - 1637 - 1694 - 1637 - 1694 - 2e moitié du 17e siècle - Bogaert - Martin van den,,
"0,66","Portrait d'un homme en costume héroïque présumé de Louis-Philippe, duc d'Orléans (1725-1785)",135238,https://agorha.inha.fr/inhaprod/ark:/54721/003135238,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0079/elem_0113/FR75_0002_MUS_135238_1263_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre,18e siècle,"0,63",Denizot - Louis-Joseph - sculpteur - 1737 - Vers 1789 - 1737 - Vers 1789,taillé,attribué à
"1,48",La Force,135189,https://agorha.inha.fr/inhaprod/ark:/54721/003135189,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0241/elem_0203/FR75_0002_MUS_135189_1045_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,17e siècle,"0,63",Anguier - François - sculpteur - 1604 - 8 août 1669 - 1604 - 8 août 1669,taillé,
"0,77",Génie funéraire soutenant les armoiries de Marie Bouhier de Beaumarchais,135272,https://agorha.inha.fr/inhaprod/ark:/54721/003135272,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0183/FR75_0016_MUS_135272_0250_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,1658 - 1663,"0,65",Guérin - Gilles - sculpteur - Vers 1606 - 26 février 1678 - Vers 1606 - 26 février 1678,taillé,
"0,78",Génie funéraire soutenant les armoiries de Charles II de La Vieuville,135273,https://agorha.inha.fr/inhaprod/ark:/54721/003135273,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0241/elem_0233/FR75_0002_MUS_135273_1075_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,Vers 1669,"0,647",Guérin - Gilles - sculpteur - Vers 1606 - 26 février 1678 - Vers 1606 - 26 février 1678,taillé,
"0,7","Edouard Colbert, marquis de Villacerf (?, 1628-Paris, 1699), surintendant et ordonnateur général des Bâtiments, Jardins, Arts et manufactures du roi",135240,https://agorha.inha.fr/inhaprod/ark:/54721/003135240,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0171/FR75_0016_MUS_135240_0175_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre,1693,"0,8",Desjardins - Martin - sculpteur/historien.ne de l'art - 1637 - 1694 - 1637 - 1694 - 2e moitié du 17e siècle - Bogaert - Martin van den,taillé,
"0,78",Génie funéraire soutenant les armoiries de Françoise-Marie de Vienne,135274,https://agorha.inha.fr/inhaprod/ark:/54721/003135274,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0241/elem_0234/FR75_0002_MUS_135274_1076_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,Vers 1669,"0,647",Guérin - Gilles - sculpteur - Vers 1606 - 26 février 1678 - Vers 1606 - 26 février 1678,taillé,
"0,47",Autel dit de la Dédicace érigé à Jupiter,135006,https://agorha.inha.fr/inhaprod/ark:/54721/003135006,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0035/FR75_0007_MUS_135006_0016_low.jpg,autel,"Musée de Cluny, Musée national du Moyen Âge (Paris)",pierre,L'an 1 - L'an 100,"0,74","Anonyme, Ile-de-France - sculpteur - époque gallo-romaine",taillé/gravé,
"0,605",Deuxième niche de l'enfeu,135388,https://agorha.inha.fr/inhaprod/ark:/54721/003135388,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0230/FR75_0016_MUS_135388_0207_low.jpg,relief,Département des sculptures du musée du Louvre (Paris),albâtre,1523 - 1524,"0,455",Regnault - Guillaume - sculpteur - 1450 - Vers 1532 - 1450 - Vers 1532 - Régnault - Guillaume,taillé,
"1,61","Allégorie de la reine Marie Leszcynska (Catherine, Sophie, Félicité) (Breslau, 1703-Versailles, 1768), reine de France, portant le médaillon de Stanislas Ier Leszczynski (1677-1766), roi de Pologne puis duc de Lorraine, son père",135317,https://agorha.inha.fr/inhaprod/ark:/54721/003135317,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0202/FR75_0016_MUS_135317_0223_low.jpg,groupe relié,Département des sculptures du musée du Louvre (Paris),marbre,1769,"0,85",Pajou - Augustin - sculpteur - 19 septembre 1730 - 8 mai 1809 - 19 septembre 1730 - 8 mai 1809,taillé,
"0,53","François-Marie Arouet, dit Voltaire, écrivain (1694-1778)",135149,https://agorha.inha.fr/inhaprod/ark:/54721/003135149,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0013/FR78_0001_MUS_135149_0113_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,1782,"0,46",Houdon - Jean-Antoine - sculpteur - 20 mars 1741 - 15 juillet 1828 - 20 mars 1741 - 15 juillet 1828,taillé,
"0,52",Panneau décoré d'un mufle de lion encadré par deux cornes d'abondance,135415,https://agorha.inha.fr/inhaprod/ark:/54721/003135415,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0009/elem_0144/FR75_0016_MUS_135415_0050_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,1502 - 1510,"0,84",Anonyme - sculpteur,taillé,attribué à
"0,72","Michel de Marolles, abbé de Villeloin (Marolles, Indre-et-Loire, 1600-Paris, 1681), écrivain, collectionneur des estampes acquises par le roi en 1667, fonds du futur Cabinet des estampes",135311,https://agorha.inha.fr/inhaprod/ark:/54721/003135311,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0060/FR75_0002_MUS_135311_0980_low.jpg,sculpture/médaillon,Département des sculptures du musée du Louvre (Paris),marbre,1681 - 1684,"0,565",Melo - Barthélemy de - sculpteur - Avant 1663 - Après 1720 - Avant 1663 - Après 1720,taillé,
"0,511","Alexandre Lenoir (Paris, 1761-Paris, 1839), fondateur et directeur du musée des Monuments français",135312,https://agorha.inha.fr/inhaprod/ark:/54721/003135312,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0198/FR75_0016_MUS_135312_0142_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),terre cuite,1796 - 1797,"0,333",Michallon - Claude - sculpteur - 1751 - 1799 - 1751 - 1799 - Actif à Paris au XVIIIe siècle,,
"1,82",La Vierge debout et l'Enfant,135016,https://agorha.inha.fr/inhaprod/ark:/54721/003135016,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0054/FR75_0007_MUS_135016_0035_low.jpg,statue,"Musée de Cluny, Musée national du Moyen Âge (Paris)",pierre,Vers 1796,"0,42","Anonyme, Ile-de-France - sculpteur - 18e siècle",taillé,
"1,94","Jeanne de Bourbon (+ 6 février 1378), reine de France",135609,https://agorha.inha.fr/inhaprod/ark:/54721/003135609,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0160/FR75_0016_MUS_135609_0160_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),calcaire,1365 - 1380,"0,5","Anonyme, Ile-de-France - sculpteur - 14e siècle",taillé,
"0,33","L'enfant prodigue chassé par ses compagnons de jeu, dit autrefois Le retour du maître",135463,https://agorha.inha.fr/inhaprod/ark:/54721/003135463,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0079/elem_0139/FR75_0002_MUS_135463_1292_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),pierre,4e quart du 16e siècle,"1,17","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"1,6","Marin Cureau de La Chambre, médecin du Roi (1594-1669)",135169,https://agorha.inha.fr/inhaprod/ark:/54721/003135169,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0108/elem_0110/FR75_0024_MUS_135169_0025_low.jpg,bas-relief,Eglise Saint-Eustache (Paris),marbre,1670 - 1680,,Tuby - Jean-Bapiste - sculpteur - 1635 - 1700 - 1635 - 1700 - Tubi - Jean-Baptiste,taillé,
"0,58","Paul-Esprit Feydeau de Brou, magistrat (1682-1767)",135171,https://agorha.inha.fr/inhaprod/ark:/54721/003135171,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0093/elem_0024/FR78_0001_MUS_135171_0128_low.jpg,sculpture/médaillon,Département des sculptures du musée du Louvre (Paris),marbre,Vers 1771,"0,63",Vassé - Louis-Claude - sculpteur/dessinateur - 1716 - 1772 - 1716 - 1772 - Actif à Paris au XVIIIe siècle - Vassez - Louis Claude,taillé,
"0,54","Nicolas de Braque, trésorier de France (+ 1388)",135173,https://agorha.inha.fr/inhaprod/ark:/54721/003135173,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0111/FR78_0001_MUS_135173_0134_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),plâtre,1839,"0,46",,,mouleur
"1,1","Main tenant l'épée du connétable, deux alérions et couronne",135359,https://agorha.inha.fr/inhaprod/ark:/54721/003135359,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0011/FR75_0002_MUS_135359_1103_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre blanc/marbre de couleur,1571 - 1578,"0,29",Prieur - Barthélemy - sculpteur - Vers 1536 - 1611 - Vers 1536 - 1611,taillé,
"0,43",Tête d'empereur lauré,135419,https://agorha.inha.fr/inhaprod/ark:/54721/003135419,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0138/elem_0183/FR75_0016_MUS_135419_0004_low.jpg,haut-relief,Département des sculptures du musée du Louvre (Paris),marbre,1502 - 1510,"0,27",Anonyme italien - sculpteur,taillé,
"0,2",Haut d'une cuirasse représentant Apollon et Marsyas,135420,https://agorha.inha.fr/inhaprod/ark:/54721/003135420,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0138/elem_0203/FR75_0016_MUS_135420_0024_low.jpg,relief/fragment/tête,Département des sculptures du musée du Louvre (Paris),marbre,1502 - 1510,"0,2","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"0,195","Le roi Henri II (Saint-Germain-en-Laye, 1519-Paris, 1559)",135338,https://agorha.inha.fr/inhaprod/ark:/54721/003135338,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0002/FR75_0002_MUS_135338_1094_low.jpg,statuette/gisant,Département des sculptures du musée du Louvre (Paris),terre cuite,16e siècle,"0,57",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,modelé,attribué à
"0,68","L'abbé Jean-Louis Aubert (Paris, 1731-Paris, 1814), fabuliste et directeur de la Gazette de France",135313,https://agorha.inha.fr/inhaprod/ark:/54721/003135313,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0199/FR75_0016_MUS_135313_0107_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre,Vers 1785,"0,6",Moitte - Jean-Guillaume - sculpteur - 1746 - 1810 - 1746 - 1810,taillé,
"1,12","Philippe de Commines (ou Commynes, ou Comines) (vers 1457-Argenton, 1511), seigneur de Renescure ; nommé par Louis XI, en août 1472, chambellan et conseiller du roi, seigneur d'Argenton ; historien et chroniqueur des règnes de Louis XI et Charles VIII",135471,https://agorha.inha.fr/inhaprod/ark:/54721/003135471,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0028/FR75_0002_MUS_135471_1120_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),pierre,1er quart du 16e siècle,"0,745","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé/polychrome,
"1,1","Main tenant l'épée du connétable, deux alérions et couronne",135358,https://agorha.inha.fr/inhaprod/ark:/54721/003135358,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0010/FR75_0002_MUS_135358_1102_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre blanc/marbre de couleur,1571 - 1578,"0,29",Prieur - Barthélemy - sculpteur - Vers 1536 - 1611 - Vers 1536 - 1611,taillé,
"1,1","Main tenant l'épée du connétable, deux alérions et couronne",135357,https://agorha.inha.fr/inhaprod/ark:/54721/003135357,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0009/FR75_0002_MUS_135357_1101_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre blanc/marbre de couleur,1571 - 1578,"0,29",Prieur - Barthélemy - sculpteur - Vers 1536 - 1611 - Vers 1536 - 1611,taillé,
