"id_objet","classement_objet","nom_objet","description","texte_creation","texte_decouverte","texte_ventes","texte_conservation","description_en","texte_creation_en","texte_decouverte_en","texte_ventes_en","texte_conservation_en","auteur_objet","type_objet","categorie_picto","type_vase","matiere_filtre","dim_cm","echelle_cm","lieu_creation_nom","lieu_creation_pays","lieu_creation_lat","lieu_creation_long","lieu_creation_type","date_creation_string","date_creation_debut","date_creation_fin","lieu_decouverte_nom","lieu_decouverte_lat","lieu_decouverte_long","lieu_decouverte_type","lieu_decouverte_pays","lieu_decouverte_certitude","date_decouverte_string","date_decouverte_debut","date_decouverte_fin","conservation_nom","conservation_date_entree","conservation_ville","conservation_id","conservation_pays","lieu_conservation_lat","lieu_conservation_long","conservation_type","URL_objet_AGORHA","image_exists"
"137251","2","Double figurine d'un homme et une femme appuyés l'un sur l'autre",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003137251","0"
"144558","2","Eléments d'un candélabre étrusque",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal","122 cm (hauteur)","122","Étrurie","Italie","42.4210287479","11.7527441248","région",,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"British Museum","1837","Londres",,"Royaume-Uni","51.519533","-0.127000","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003144558","1"
"254843","2","Figurine : discobole",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254843","0"
"254838","2","Figurine : éphèbe",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254838","0"
"254840","2","Figurine : éphèbe debout",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254840","0"
"254846","2","Figurine : éphèbe levant le bras droit",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254846","1"
"254841","2","Figurine : éphèbe nu",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254841","0"
"254839","2","Figurine : éphèbe nu et debout",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254839","1"
"254842","2","Figurine : éphèbe nu levant le bras gauche",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254842","0"
"254837","2","Figurine : femme vêtue d'une tunique (Artémis ?)",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254837","0"
"254844","2","Figurine : homme drapé tenant une phiale",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254844","0"
"254849","2","Figurine : homme et femme appuyés l'un sur l'autre",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254849","0"
"254848","2","Figurine : hoplite s'appuyant sur un petit éphèbe",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254848","0"
"254852","2","Figurine : lion accroupi",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254852","0"
"254847","2","Figurine : satyre ithyphallique",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254847","0"
"254851","2","Figurine : sirène casquée",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254851","0"
"254845","2","Figurine : tibicine",,,,,,,,,,,,"candélabre","mobilier / instrument",,"métal",,,,,,,,,,,"Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254845","1"
"141598","1","Thymiatérion étrusque","Ce thymiaterion (brûle-parfum destiné à un usage domestique et funéraire) est un assemblage d'éléments modernes et d'antiquités étrusques.Dans sa partie supérieure, un satyre s’apprêtant à assomme d'une pierre un serpent qui monte sur son bâton, surmonté d'un fût torsadé se terminant en une caryatide mi-femme mi-poisson, a été retrouvée dans les fouilles de Lucien Bonaparte à Vulci en 1828-1829. Passé par la vente Canino de 1837, l'objet a été complété lors de la vente Beugnot de 1840 par une coupelle sommitale et un socle moderne en marbre jaune de Sienne supporté par trois pieds de ciste prénestine en forme de patte de lion et décorés de scènes de lutte, plus récents que le reste de l'encensoir. Le ""Candélabre au satyre"", tel qu'il a été nommé au XIXe siècle, est aujourd'hui conservé à Compiègne au Musée Antoine Vivenel. ","Découvrez l'histoire de ce thymiatérion (brûle-parfum) qui a traversé les siècles depuis sa création en Étrurie aux 4e-3e siècles avant J.-C. jusqu'au Musée Antoine Vivenel à Compiègne (France).","La partie supérieure de ce thymiatérion (Satyre et fût torsadé surmonté d'une figure anguipède) a été découverte lors des fouilles du Prince de Canino sur le site de Vulci dans le Latium (Italie) en 1828-1829.","Après sa découverte, ce thymiatérion se retrouve dans les ventes Canino de 1837 et Beugnot de 1840, où il est acheté par Antoine Vivenel, assemblé avec d'autres éléments antiques (pieds de ciste prénestine, plateau au sommet) et modernes (socle).","Le thymiatérion, ayant appartenu à Antoine Vivenel, est conservé à Compiègne depuis 1843 au musée qui porte son nom à la suite du don de sa collection, le Musée Antoine Vivenel.","This thymiaterion (incense burner for domestic or funerary purposes) is a mix between modern and Etruscan elements. A walking satyr is about to stun a snake climbing his staff with a stone. It is topped by a spiraling shaft twisting into a fish-woman hybrid caryatid. It was found in Vulci during the 1828-1829 excavations conducted by Lucien Bonaparte. After being sold during the Canino sale in 1837, and before the Beugnot sale in 1840, two modern elements were added: a little cup on the top and a modern plinth in Sienna yellow marble on the bottom part, as a base. This base is supported by three bronze lion paws, decorated with fighting scenes, which belong probably to an ancient Praenestine cistae. This so-called ""Satyr's Candelabra"" is currently in the Antoine Vivenel Museum in Compiègne. ","Explore the history of this thymiaterion (incense burner) throughout the centuries from its creation in Etruria during the 4th-3rd c. BC until its arrival in the collection of the Antoine Vivenel Museum in Compiègne (France).","The superior part of this thymiaterion (a satyr and a spiraling shaft topped by an fish-woman caryatid figure) was found during the excavation of 1828-1829 led by the Prince of Canino on the archaeological site of Vulci, Latium, Italy. ","After its discovery, this thymiaterion was sold during the Paris auctions of Canino in 1937 and Beugnot in 1940, where it was bought by Antoine Vivenel. At this time, it was reassembled with other elements added, ancient (feet from a Praenestine cistae, cup on the top) and modern (plinth).","This thymiaterion, which belonged to Antoine Vivenel, has been kept in Compiègne since 1843, following the donation of Vivenel's collection to the museum which henceforth has been named after him, the Antoine Vivenel Museum.",,"candélabre","mobilier / instrument",,"métal","46,5 cm (hauteur)","46,5","Étrurie","Italie","42.4210287479","11.7527441248","région","4e siècle avant J.C.","-400","-300","Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"Musée Antoine Vivenel","1843","Compiègne",,"France","49.417635","2.821754","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003141598","1"
"144525","2","Casque italique en bronze",,,,,,,,,,,,"casque","arme",,"métal","17,8 cm (hauteur)","17,8","Italie","Italie","42.431724","12.947691","pays","4e siècle avant J.C.","-400","-300","Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"British Museum","1837","Londres",,"Royaume-Uni","51.519533","-0.127000","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003144525","1"
"144538","2","Couronne funéraire en or",,,,,,,,,,,,"couronne","bijou",,"métal précieux","30,5 x  ? x 30,5 cm","30,5","Italie","Italie","42.431724","12.947691","pays","L'an 350 avant J.C.","-350","-300","Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"British Museum","1837","Londres",,"Royaume-Uni","51.519533","-0.127000","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003144538","1"
"254853","2","Miroir : Athéna combattant contre un géant",,,,,,,,,,,,"miroir","mobilier / instrument",,"métal",,,"Étrurie","Italie","42.4210287479","11.7527441248","région",,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254853","0"
"254859","2","Miroir : les Dioscures devant un temple",,,,,,,,,,,,"miroir","mobilier / instrument",,"métal",,,"Étrurie","Italie","42.4210287479","11.7527441248","région",,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254859","0"
"254858","2","Miroir : les Dioscures et Hélène",,,,,,,,,,,,"miroir","mobilier / instrument",,"métal",,,"Étrurie","Italie","42.4210287479","11.7527441248","région",,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254858","0"
"255062","2","Miroir : Minerve conduisant Athanasia",,,,,,,,,,,,"miroir","mobilier / instrument",,"métal","23,3 cm (hauteur)","23,3","Étrurie","Italie","42.4210287479","11.7527441248","région",,,,"Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"BnF - département des Monnaies, médailles et antiques","1837",,,"France","48.86738","2.338384","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003255062","0"
"254857","1","Miroir : Minerve entre Hercule et Iolas","Ce miroir étrusque, daté de la fin du IVe siècle av. J.-C., représente la déesse Menerva (l'Athéna étrusque), placée entre le Héros Hercle (Hercule), imberbe et cuirassé, s'appuyant sur sa massue, et son compagnon Iolaos. Découvert dans les fouilles de Lucien Bonaparte à Vulci en 1828-1829, il est acheté par la Bibliothèque nationale de France à la vente Canino de 1837.","Découvrez l'histoire de ce miroir qui a traversé les siècles depuis sa création en Étrurie (Italie) jusqu'à la Bibliothèque nationale de France à Paris.","Ce miroir a été découvert lors des fouilles du Prince de Canino (Lucien Bonaparte) sur le site de Vulci dans le Latium (Italie) en 1828-1829.","Après sa découverte, ce miroir se retrouve dans la vente Canino de 1837, au cours de laquelle il est acheté par la Bibliothèque nationale.","Le miroir est conservé depuis 1837 à la Bibliothèque nationale de France à Paris.","This Etruscan mirror, created at the end of the 4th c. BC., depicts the goddess Menerva (Etruscan equivalent of Minerva / Athena) standing between the hero Hercle (Hercules), beardless, wearing a breastplate and leaning on his club, and his friend Iolaos. It was found in Vulci during the 1828-1829 excavations conducted by Lucien Bonaparte and bought by the National Library of France during the Canino sale in 1837.","Explore the history of this mirror throughout the centuries from its creation in Etruria (Italy) until its arrival in the collection of the National Library of France in Paris.","This mirror was found during the Prince Canino's excavations on the archaeological site of Vulci, Latium, Italy, in 1828-1829.","After its discovery, this mirror was sold during the Parisian auction of Canino's collection in 1937, during which one it was bought by the National Library of France. ","This mirror has been kept since 1937 in the collection of the French National Library (Bibliothèque Nationale de France)",,"miroir","mobilier / instrument",,"métal","19 cm (diamètre) ","19","Étrurie","Italie","42.4210287479","11.7527441248","région","4e siècle avant J.C. - 3e siècle avant J.C. ","-400","-300","Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"BnF - département des Monnaies, médailles et antiques","1837","Paris",,"France","48.86738","2.338384","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003254857","1"
"254856","2","Miroir : Prométhée délivré par les Dioscures",,,,,,,,,,,,"miroir","mobilier / instrument",,"métal",,,"Étrurie","Italie","42.4210287479","11.7527441248","région",,,,"Canino","42.466866","11.750919","ville","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254856","1"
"254854","2","Miroir : satyre ithyphallique poursuivant une ménade",,,,,,,,,,,,"miroir","mobilier / instrument",,"métal",,,"Étrurie","Italie","42.4210287479","11.7527441248","région",,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254854","0"
"254855","2","Miroir : Victoire à quatre ailes",,,,,,,,,,,,"miroir","mobilier / instrument",,"métal",,,"Étrurie","Italie","42.4210287479","11.7527441248","région",,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254855","0"
"144577","2","Miroir étrusque",,,,,,,,,,,,"miroir","mobilier / instrument",,"métal","26,7 x 13,8 x 26,7 cm","26,7","Étrurie","Italie","42.4210287479","11.7527441248","région","L'an 525 avant J.C.","-525","-450","Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"British Museum","1837","Londres",,"Royaume-Uni","51.519533","-0.127000","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003144577","1"
"144578","2","Miroir étrusque",,,,,,,,,,,,"miroir","mobilier / instrument",,"métal","15,9 x 15,2 x 15,9 cm","15,9","Étrurie","Italie","42.4210287479","11.7527441248","région","L'an 525 avant J.C.","-525","-450","Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"British Museum","1837","Londres",,"Royaume-Uni","51.519533","-0.127000","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003144578","1"
"144576","2","Miroir étrusque",,,,,,,,,,,,"miroir","mobilier / instrument",,"métal","16,9 x 15,2 x 16,9 cm","19","Étrurie","Italie","42.4210287479","11.7527441248","région","L'an 525 avant J.C.","-525","-450","Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"British Museum","1837","Londres",,"Royaume-Uni","51.519533","-0.127000","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003144576","1"
"144574","2","Miroir étrusque",,,,,,,,,,,,"miroir","mobilier / instrument",,"métal","19 x 14,8 x 19 cm","19","Étrurie","Italie","42.4210287479","11.7527441248","région","L'an 470 avant J.C.","-470","-450","Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"British Museum","1837","Londres",,"Royaume-Uni","51.519533","-0.127000","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003144574","1"
"255006","2","Animal accroupi (1)",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003255006","0"
"255007","2","Animal accroupi (2)",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003255007","0"
"254830","2","Candélabre : Atys entre quatre lions",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254830","1"
"254827","2","Candélabre : bouton",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254827","0"
"254826","2","Candélabre : éphèbe",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254826","0"
"254831","2","Candélabre : éphèbe nu",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254831","0"
"254825","2","Candélabre : Eros",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254825","0"
"254824","2","Candélabre : Hercule",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"BnF - département des Monnaies, médailles et antiques",,,,"France","48.86738","2.338384","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003254824","0"
"254834","2","Candélabre : satyre",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254834","0"
"254833","2","Candélabre : satyre dansant",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254833","0"
"254829","2","Candélabre reposant sur trois griffes de lion : bouton",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254829","0"
"254832","2","Candélabre reposant sur trois jambes humaines : divinité",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254832","0"
"254822","2","Candélabre supporté par trois griffes de lion : Mars",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254822","1"
"254828","2","Candélabre supporté par trois pieds de cheval : bouton",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254828","0"
"254823","2","Candélabre sur une base ronde avec trois pieds : Mars",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003254823","0"
"144462","2","Deux haltères en plomb",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,"Grèce","Grèce","39.295346","22.035132","pays",,,,"Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"British Museum","1837","Londres",,"Royaume-Uni","51.519533","-0.127000","batiment","http://agorha.inha.fr/inhaprod/ark:/54721/003144462","1"
"255014","2","Figurine : éphèbe nu (1)",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003255014","0"
"255015","2","Figurine : éphèbe nu (2)",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Vulci","42.4192224","11.6286618333","ville","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003255015","0"
"255012","2","Fragment : espèce de bouton (1)",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003255012","0"
"255013","2","Fragment : espèce de bouton (2)",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003255013","0"
"255004","2","Fragment (d'un char ?) (1)",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003255004","0"
"255005","2","Fragment (d'un char ?) (2)",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003255005","0"
"255008","2","Fragment d'usage inconnu (1)",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003255008","0"
"255009","2","Fragment d'usage inconnu (2)",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003255009","0"
"255010","2","Fragment d'usage inconnu (3)",,,,,,,,,,,,"objet civil domestique","mobilier / instrument",,"métal",,,,,,,,,,,"Étrurie","42.4210287479","11.7527441248","région","Italie","certain",,,,"Localisation inconnue",,,,,,,,"http://agorha.inha.fr/inhaprod/ark:/54721/003255010","0"
